Ahiwara,67,Indian National Congress,31687,Bharatiya Janata Party,31676
Akaltara,33,Bharatiya Janata Party,1854,Indian National Congress,21693
Arang,52,Indian National Congress,25077,Bharatiya Janata Party,13774
Beltara,31,Bharatiya Janata Party,6259,Bharatiya Janata Party,5728
Bilaigarh,43,Indian National Congress,9847,Bharatiya Janata Party,12695
Bilha,29,Bharatiya Janata Party,26524,Indian National Congress,10968
Bindranawagarh,55,Bharatiya Janata Party,10430,Bharatiya Janata Party,30536
Chitrakot,87,Indian National Congress,17770,Indian National Congress,12329
Durg Gramin,63,Indian National Congress,27112,Bharatiya Janata Party,2979
Gunderdehi,61,Indian National Congress,55394,Indian National Congress,21280
Jaijaipur,37,Bahujan Samaj Party,21687,Bahujan Samaj Party,2579
Janjgir-champa,34,Bharatiya Janata Party,4188,Indian National Congress,10211
Jashpur,12,Indian National Congress,8026,Bharatiya Janata Party,34349
Kanker,81,Indian National Congress,19804,Indian National Congress,4625
Kasdol,44,Indian National Congress,48418,Bharatiya Janata Party,22928
Katghora,22,Indian National Congress,11511,Bharatiya Janata Party,13130
Keshkal,82,Indian National Congress,16972,Indian National Congress,8689
Khallari,41,Indian National Congress,56978,Bharatiya Janata Party,5999
Khujji,77,Indian National Congress,27497,Indian National Congress,8694
Korba,21,Indian National Congress,11806,Indian National Congress,14449
