AGAR,166,Bharatiya Janata Party,2490,Bharatiya Janata Party,28859
ALIRAJPUR,191,Indian National Congress,21962,Bharatiya Janata Party,17369
ALOTE,223,Indian National Congress,5448,Bharatiya Janata Party,7973
AMLA,130,Bharatiya Janata Party,19197,Bharatiya Janata Party,39602
ASHOK NAGAR,32,Indian National Congress,9730,Bharatiya Janata Party,3348
ATER,9,Bharatiya Janata Party,4978,Indian National Congress,11426
BADNAGAR,218,Indian National Congress,5381,Bharatiya Janata Party,13135
BADNAWAR,202,Indian National Congress,41506,Bharatiya Janata Party,9812
BAGLI,174,Bharatiya Janata Party,11843,Bharatiya Janata Party,25332
BAHORIBAND,94,Bharatiya Janata Party,16435,Bharatiya Janata Party,20918
BAIHAR,108,Indian National Congress,16480,Indian National Congress,32352
BAMORI,28,Indian National Congress,27920,Indian National Congress,18561
BANDA,42,Indian National Congress,24164,Bharatiya Janata Party,17880
BANDHAVGARH,89,Bharatiya Janata Party,3903,Bharatiya Janata Party,18645
BARGHAT,114,Indian National Congress,7527,Bharatiya Janata Party,269
BASODA,145,Bharatiya Janata Party,10226,Indian National Congress,16159
BHAINSDEHI,133,Indian National Congress,30880,Bharatiya Janata Party,13276
BHANDER,21,Indian National Congress,39896,Bharatiya Janata Party,7651
BHIKANGAON,181,Indian National Congress,27257,Indian National Congress,2399
BIJAWAR,52,Samajwadi Party,36714,Bharatiya Janata Party,10379
